#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.10   0.0200   6   26.5857   2420.9820   100.9197   39.0120   54.3705  7584.816219315428
FM   1.10   0.0200   7   16.4720   2269.6485   109.1725   36.6352   40.9813  7584.908865182272
#--- new collection started at 14:47:03---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.10   0.0216   7   9.5920   2376.9976   86.9829   34.2805   27.5213  7843.783582162265
FM   1.10   0.0216   8   20.5927   2289.8669   101.4702   35.3292   45.8938  7843.87473052734
#--- new collection started at 14:50:11---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.10   0.0247   5   20.6363   2778.0553   155.0325   61.1246   55.8436  4608.751356658195
#--- new collection started at 14:52:31---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.10   0.0300   7   26.7169   2562.2275   42.4007   28.5206   41.4651  9350.487955334693
FM   1.10   0.0300   8   69.9110   2401.1735   45.5498   24.0399   51.1040  9350.571433240428
FM   1.10   0.0300   9   21.4551   2294.6936   118.2626   39.5053   49.4966  9350.655982905602
#--- new collection started at 14:54:50---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.10   0.0344   6   28.0590   2660.5783   26.7471   27.6354   36.5005  9967.865985617107
FM   1.10   0.0344   8   70.2469   2384.1722   61.8638   27.9730   60.0887  9968.0257937106
#--- new collection started at 14:58:05---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.10   0.0400   5   16.2956   2819.6894   12.7948   29.6408   23.0395  10808.370469190737
FM   1.10   0.0400   8   26.3089   2345.4769   112.0157   39.4622   55.0173  10808.596577231454
#--- new collection started at 15:00:29---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.10   0.0450   6   54.5152   2786.6529   6.4021   22.8865   18.2987  11301.764693434288
#--- new collection started at 15:04:03---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.10   0.0500   5   28.3652   2919.6962   9.7777   27.2387   22.9118  11814.084450571288
FM   1.10   0.0500   8   89.5292   2461.1387   46.5324   26.2741   56.2378  11814.28547521487
#--- new collection started at 15:06:46---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.10   0.0600   5   52.4047   2989.3121   33.9545   23.0137   43.3274  12889.648956236473
#--- new collection started at 15:09:00---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.10   0.0700   2   9.3219   3200.3791   31.8472   33.2309   23.6575  13466.466254096675
#--- new collection started at 15:11:52---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:14:02---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.10   0.0900   4   79.1951   2905.7567   4.1037   28.2886   13.6985  13401.212252667152
#--- new collection started at 15:16:37---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:19:12---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.10   0.1100   1   12.0472   3031.8480   27.9910   41.9303   27.9894  11580.891132033745
#--- new collection started at 15:21:15---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:23:02---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.10   0.1300   3   64.3056   3138.9597   56.6635   22.9124   51.8391  14082.744846939178
#--- new collection started at 15:24:57---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:27:01---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:07:20---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:08:48---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:10:07---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:11:53---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:13:05---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.20   0.0013   12   9.9805   240.5538   405.5318   50.9648   31.6356  1077.798669806591
FM   1.20   0.0013   13   39.7933   445.3677   395.8942   46.7392   77.9781  1077.8613721360737
#--- new collection started at 14:14:18---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.20   0.0018   6   57.1863   1740.5863   391.4489   76.7938   118.9141  2660.3186043139026
#--- new collection started at 14:15:44---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:17:18---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.20   0.0025   6   53.6057   1924.5006   368.8478   76.7809   114.5818  2783.7796822654204
#--- new collection started at 14:18:48---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.20   0.0030   6   31.9446   1909.2695   349.5912   73.7703   82.9118  2873.679626464672
#--- new collection started at 14:20:56---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.20   0.0036   4   48.1468   2121.0656   340.9373   76.4143   107.3511  2984.8690930035496
#--- new collection started at 14:23:46---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.20   0.0040   5   28.0091   2085.2486   325.3044   73.4570   75.6577  3064.843194973497
#--- new collection started at 14:25:50---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.20   0.0050   5   25.2589   2163.2024   312.9489   73.1283   70.2713  3207.4461801415073
#--- new collection started at 14:27:22---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:29:09---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.20   0.0070   4   14.9849   2273.4480   285.4672   71.1639   47.2094  3526.1745743302076
#--- new collection started at 14:31:42---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.20   0.0095   9   55.1793   1679.2137   202.6386   43.3044   85.5698  3972.933133192528
#--- new collection started at 14:34:29---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.20   0.0100   10   42.1717   1642.8109   202.4589   42.4823   75.7578  4070.9154396891804
#--- new collection started at 14:36:56---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.20   0.0125   9   54.3747   1930.1366   167.6680   41.3958   81.5823  4394.859795627585
FM   1.20   0.0125   10   25.2816   1753.8640   175.6123   39.0512   56.0018  4394.9491112031055
#--- new collection started at 14:39:28---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.20   0.0135   8   68.0716   2052.0971   163.5948   43.4536   90.2865  4531.170103600572
FM   1.20   0.0135   9   33.3641   1900.7921   155.6002   37.9574   63.2207  4531.261058393466
FM   1.20   0.0135   10   28.4587   1739.6550   196.3682   43.2842   62.5890  4531.348458630078
#--- new collection started at 14:42:00---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.20   0.0140   7   58.9880   2046.8196   156.5016   41.7509   83.7128  4610.048737857574
FM   1.20   0.0140   8   26.9272   1907.4672   151.2045   37.1018   56.1578  4610.1392404768985
FM   1.20   0.0140   9   37.5685   1749.1243   211.7123   46.7102   75.0163  4610.226228715052
#--- new collection started at 14:44:56---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.20   0.0200   6   39.3481   2268.9312   102.0107   34.8640   62.1691  5550.5739716822445
FM   1.20   0.0200   7   18.5979   2212.9290   94.1277   31.2854   41.3185  5550.664111165776
FM   1.20   0.0200   9   36.1336   1968.0094   123.9735   32.0974   59.3431  5550.837596622115
#--- new collection started at 14:47:09---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.20   0.0216   6   25.5216   2273.6104   89.6064   31.8876   48.6959  5736.292641672915
FM   1.20   0.0216   7   24.0650   2188.1524   79.8655   26.8527   43.5861  5736.380672609976
FM   1.20   0.0216   9   10.9700   1963.6142   164.2811   41.4456   32.8187  5736.550846244217
#--- new collection started at 14:50:15---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.20   0.0247   5   20.6363   2778.0553   155.0325   61.1246   55.8436  4608.751356658195
#--- new collection started at 14:52:31---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.20   0.0300   6   17.6104   2474.0862   50.8793   27.8896   35.4928  6809.945400837301
FM   1.20   0.0300   7   34.4733   2362.4028   37.0926   20.3682   37.9194  6810.026418439797
FM   1.20   0.0300   10   11.9848   2063.2119   160.8621   43.1253   35.2956  6810.2682518867605
#--- new collection started at 14:54:50---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.20   0.0344   7   12.8317   2508.7121   29.8642   23.1896   25.8167  7253.402493692575
FM   1.20   0.0344   11   15.0952   2096.9667   176.1509   47.2523   42.7520  7253.713098132264
#--- new collection started at 14:58:06---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.20   0.0400   6   12.0504   2670.1683   18.8167   25.7459   22.8122  7852.544952341786
#--- new collection started at 15:00:35---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.20   0.0450   6   14.3034   2684.3957   3.0891   21.6149   9.0854  8211.659696105009
#--- new collection started at 15:04:03---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.20   0.0500   6   8.8779   2787.8543   2.1301   24.2955   6.4143  8581.919092425338
#--- new collection started at 15:06:50---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.20   0.0600   1   27.8739   2959.8778   10.9681   28.5743   24.6331  9360.039436410554
FM   1.20   0.0600   5   26.8531   2845.8092   28.8906   18.4181   31.6209  9360.239922209268
#--- new collection started at 15:09:01---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.20   0.0700   1   20.2753   3028.7109   26.3483   27.0382   32.1055  9785.498034088847
FM   1.20   0.0700   5   45.4748   2902.0943   47.3816   14.9414   36.2424  9785.68232714026
#--- new collection started at 15:11:52---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:14:05---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:16:38---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.20   0.1000   1   16.7456   3191.8481   66.5898   22.4005   33.4198  9368.60276267556
#--- new collection started at 15:19:13---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:21:15---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:23:02---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:24:58---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:27:05---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:07:20---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.30   0.0080   6   24.2280   2186.1348   280.3303   68.5109   66.7831  2841.0602984394795
FM   1.30   0.0080   7   23.8861   2020.0922   268.9329   63.1672   64.6101  2841.161373134868
FM   1.30   0.0080   11   53.1342   1190.2150   214.0774   35.7327   76.4566  2841.5212723247455
FM   1.30   0.0080   12   27.4130   970.9917   241.9644   37.6930   58.6752  2841.5998066550483
#--- new collection started at 14:08:49---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:10:10---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:11:56---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.30   0.0010   8   30.5380   812.9229   424.6510   67.6798   78.2678  1955.1573528962872
FM   1.30   0.0010   9   16.6931   566.5450   412.6009   62.5301   49.9464  1955.249674683
#--- new collection started at 14:13:09---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.30   0.0013   7   46.0235   1087.0266   413.6084   69.9074   101.5992  1993.9261270059046
FM   1.30   0.0013   8   10.1492   843.6012   401.4253   64.6276   33.9906  1994.0230659401946
FM   1.30   0.0013   9   43.9480   597.2324   389.6673   59.3183   91.2137  1994.1129151952364
#--- new collection started at 14:14:19---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.30   0.0018   7   26.8825   1216.8615   382.0414   67.1588   72.0354  2064.3312592593497
FM   1.30   0.0018   8   19.5053   972.9078   369.7860   61.5444   56.1415  2064.427633221578
#--- new collection started at 14:15:45---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.30   0.0020   7   30.9827   1336.3472   374.1303   67.8127   79.2962  2095.0973587302437
FM   1.30   0.0020   8   15.8752   1086.7549   361.7801   61.9896   48.3049  2095.1956069711487
#--- new collection started at 14:17:18---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.30   0.0025   7   35.2552   1496.5659   363.1232   68.7171   86.3202  2158.0267963049832
FM   1.30   0.0025   8   10.9893   1250.0582   350.5649   62.7527   36.1710  2158.126362491124
#--- new collection started at 14:18:49---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.30   0.0030   6   57.7272   1769.4171   359.1963   72.7153   116.1970  2226.426388745468
FM   1.30   0.0030   7   20.4231   1529.1440   346.3125   66.6722   59.2553  2226.531013814803
FM   1.30   0.0030   8   26.2828   1291.6511   334.0358   60.7206   68.6290  2226.628999780383
#--- new collection started at 14:20:56---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.30   0.0036   6   34.3036   1756.0987   337.0913   69.1700   84.8454  2311.505709780534
FM   1.30   0.0036   7   12.8634   1512.4850   323.9734   62.8029   41.0632  2311.6072212489976
#--- new collection started at 14:23:47---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.30   0.0040   6   41.5077   1886.8781   330.9873   70.5947   95.6743  2370.3615053046146
FM   1.30   0.0040   7   9.5015   1664.9443   318.6063   64.6196   32.1386  2370.4654712352644
#--- new collection started at 14:25:53---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.30   0.0050   5   48.8808   2038.7041   322.5800   72.1588   105.5221  2477.358646193944
FM   1.30   0.0050   6   16.0655   1840.1871   310.8309   66.5774   49.3668  2477.4630655872334
#--- new collection started at 14:27:23---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:29:10---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:31:44---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.30   0.0095   8   29.5308   913.1438   384.6002   63.0160   74.8684  1645.2089996799384
FM   1.30   0.0095   9   13.0767   675.5794   373.1775   57.7237   40.8349  1645.2955072306313
#--- new collection started at 14:34:30---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.30   0.0100   8   38.8494   977.1370   387.6191   64.4241   89.1547  1645.1981298231783
FM   1.30   0.0100   9   8.2377   730.7729   376.1647   59.0127   28.0968  1645.2861389872157
FM   1.30   0.0100   10   44.6275   498.8929   364.7440   53.7613   87.4230  1645.368038674676
#--- new collection started at 14:36:57---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.30   0.0125   6   29.8646   2297.0216   226.7211   61.8454   73.3947  3361.2700595606852
FM   1.30   0.0125   11   24.4577   1525.6679   155.2713   29.0616   48.5482  3361.6856417457843
FM   1.30   0.0125   12   14.3300   1316.8442   170.1069   28.0704   35.6994  3361.7599395566776
#--- new collection started at 14:39:28---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.30   0.0135   8   23.4813   869.0620   382.4665   62.0357   64.0286  1646.9817769922386
FM   1.30   0.0135   9   20.2677   628.5688   371.1598   56.7106   56.1339  1647.066416266499
#--- new collection started at 14:42:00---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.30   0.0140   5   34.1820   2333.6883   212.6334   60.1565   78.4162  3505.9083376182084
FM   1.30   0.0140   6   44.5867   2310.0554   209.7257   59.0516   89.7594  3506.003872158381
FM   1.30   0.0140   10   39.8517   1698.9058   147.1223   31.1000   61.8879  3506.3637668990896
FM   1.30   0.0140   11   15.8007   1494.5478   134.0390   22.9677   34.7955  3506.4451577923496
FM   1.30   0.0140   12   12.2545   1315.7481   191.3357   33.0978   33.9550  3506.5228785851523
#--- new collection started at 14:44:58---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
