#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.20   0.0140   6   56.9307   142.8311
O1   1.20   0.0140   1   143.4687   215.1571
O1   1.20   0.0140   2   145.9345   219.9652
O1   1.20   0.0140   3   102.1120   167.6142
O1   1.20   0.0140   4   60.6321   121.4125
#--- new collection started at 22:38:06---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.20   0.0200   1   118.1129   175.1877
O1   1.20   0.0200   2   49.7669   95.3918
#--- new collection started at 22:09:51---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.20   0.0216   1   120.1773   174.5982
O1   1.20   0.0216   2   84.8605   134.3111
O1   1.20   0.0216   3   34.1139   73.8513
O1   1.20   0.0216   6   19.5116   63.4280
#--- new collection started at 19:59:36---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.20   0.0247   1   145.3211   185.7869
O1   1.20   0.0247   2   129.4144   165.3857
O1   1.20   0.0247   3   86.5151   113.3955
O1   1.20   0.0247   4   52.5637   79.8890
#--- new collection started at 22:55:19---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.20   0.0300   1   93.2566   128.5866
O1   1.20   0.0300   2   36.3617   66.9691
#--- new collection started at 10:56:06---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.20   0.0344   1   122.3725   151.6502
O1   1.20   0.0344   2   18.6019   38.8964
#--- new collection started at 23:20:41---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.20   0.0400   3   292.1273   251.8448
#--- new collection started at 12:04:53---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.20   0.0500   2   24.7102   40.6822
O1   1.20   0.0500   4   59.3663   58.0374
O1   1.20   0.0500   3   244.2583   269.7311
#--- new collection started at 13:29:50---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.20   0.0600   1   76.6662   83.3919
O1   1.20   0.0600   6   66.1707   73.1232
O1   1.20   0.0600   7   62.6377   104.5343
O1   1.20   0.0600   2   129.4126   60.3521
O1   1.20   0.0600   4   36.8503   47.1771
O1   1.20   0.0600   5   54.5707   73.9430
#--- new collection started at 01:13:55---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.20   0.0700   1   74.5430   90.3331
O1   1.20   0.0700   6   84.6163   74.6402
O1   1.20   0.0700   4   217.0966   298.7805
O1   1.20   0.0700   5   36.5551   72.8129
#--- new collection started at 01:52:38---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.20   0.0800   4   19.5152   51.0053
O1   1.20   0.0800   5   100.1142   74.3650
O1   1.20   0.0800   3   260.6094   329.7012
#--- new collection started at 02:25:14---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.20   0.0900   4   46.9718   74.8428
O1   1.20   0.0900   2   240.9578   287.7500
O1   1.20   0.0900   3   50.1571   92.2523
#--- new collection started at 02:49:42---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.20   0.1000   2   32.3594   74.0061
#--- new collection started at 03:09:32---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 03:39:34---
