FM   1.10   0.0018   3   43.4905   2286.0645   405.5825   87.8995   107.3157  3533.401303452295
FM   1.10   0.0018   4   21.2690   2172.4099   398.7669   85.0599   64.7864  3533.539325818503
#--- new collection started at 17:56:07---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.10   0.0020   2   33.9548   2308.8107   392.9478   86.7749   91.0064  3588.74151015379
FM   1.10   0.0020   3   19.0466   2229.4338   388.3060   84.7621   59.4137  3588.882999439324
#--- new collection started at 17:57:16---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.10   0.0025   3   18.2215   2271.5255   372.3714   83.4987   57.1573  3703.829059595649
#--- new collection started at 17:58:38---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.10   0.0030   2   15.9086   2384.1668   360.9840   84.1610   51.3276  3825.8305449454992
FM   1.10   0.0030   3   13.6359   2350.4008   359.1562   83.2720   45.1698  3825.95932411822
#--- new collection started at 17:49:39---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.10   0.0036   2   22.1508   2389.7267   340.3811   81.5465   65.8281  3981.541011539815
#--- new collection started at 18:00:33---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.10   0.0040   3   33.0668   2418.5482   329.1156   80.5914   86.7641  4091.091611153391
#--- new collection started at 18:02:18---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.10   0.0050   4   39.0819   2483.9386   316.5008   80.1998   96.1115  4288.617117696576
#--- new collection started at 18:04:02---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.10   0.0060   3   37.5683   2552.4944   303.7462   79.8802   93.4123  4499.891651973243
#--- new collection started at 18:05:49---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.10   0.0070   3   58.3587   2577.9562   288.2452   78.2207   118.4241  4725.780915863902
#--- new collection started at 18:10:39---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 18:12:40---
