FM   1.20   0.0030   2   88.7047   230.0620
FM   1.20   0.0030   3   25.7042   87.9239
FM   1.20   0.0030   4   65.5637   178.2199
FM   1.20   0.0030   6   38.2662   121.6817
FM   1.20   0.0030   7   88.7047   230.0620
FM   1.20   0.0030   8   25.7042   87.9239
FM   1.20   0.0030   9   65.5637   178.2199
FM   1.20   0.0030   18   25.7042   87.9239
FM   1.20   0.0030   19   65.5637   178.2199
FM   1.20   0.0030   21   38.2662   121.6817
FM   1.20   0.0030   22   88.7047   230.0620
FM   1.20   0.0030   23   25.7042   87.9239
FM   1.20   0.0030   24   65.5637   178.2199
FM   1.20   0.0030   26   38.2662   121.6817
FM   1.20   0.0030   27   88.7047   230.0620
FM   1.20   0.0030   31   38.2662   121.6817
FM   1.20   0.0030   32   88.7047   230.0620
FM   1.20   0.0030   33   25.7042   87.9239
FM   1.20   0.0030   34   65.5637   178.2199
#--- new collection started at 13:42:47---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.20   0.0036   14   33.3522   108.7352
FM   1.20   0.0036   15   80.1594   213.9650
FM   1.20   0.0036   16   12.4645   45.9907
FM   1.20   0.0036   17   78.5122   199.4913
FM   1.20   0.0036   12   12.4645   45.9907
FM   1.20   0.0036   13   78.5122   199.4913
FM   1.20   0.0036   10   33.3522   108.7352
FM   1.20   0.0036   11   80.1594   213.9650
FM   1.20   0.0036   5   140.4648   307.2758
FM   1.20   0.0036   6   33.3522   108.7352
FM   1.20   0.0036   7   80.1594   213.9650
FM   1.20   0.0036   8   12.4645   45.9907
FM   1.20   0.0036   9   78.5122   199.4913
FM   1.20   0.0036   1   33.3522   108.7352
FM   1.20   0.0036   2   80.1594   213.9650
FM   1.20   0.0036   3   12.4645   45.9907
FM   1.20   0.0036   4   78.5122   199.4913
#--- new collection started at 19:29:53---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.20   0.0040   17   25.8544   87.7661
FM   1.20   0.0040   23   38.4127   122.7076
FM   1.20   0.0040   14   105.8698   258.3309
FM   1.20   0.0040   15   38.4127   122.7076
FM   1.20   0.0040   11   38.4127   122.7076
FM   1.20   0.0040   12   37.0852   117.5135
FM   1.20   0.0040   9   25.8544   87.7661
FM   1.20   0.0040   2   105.8698   258.3309
FM   1.20   0.0040   3   38.4127   122.7076
FM   1.20   0.0040   4   37.0852   117.5135
FM   1.20   0.0040   5   25.8544   87.7661
FM   1.20   0.0040   6   105.8698   258.3309
