#mass   Z   median_TP_age (Myr)
3.80  0.0125  175.1658
3.80  0.0040  145.5182
3.80  0.0050  149.0783
3.80  0.0060  152.5190
3.80  0.0095  165.7020
3.80  0.0135  178.2501
3.80  0.0140  179.8679
3.80  0.0200  200.5736
3.80  0.0216  204.8304
3.80  0.0247  212.5208
3.80  0.0300  226.5870
3.80  0.0500  258.8164
3.80  0.0600  271.2663
3.80  0.1100  236.0501
3.80  0.1400  181.7964
3.80  0.0013  130.0191
3.80  0.0025  137.5338
3.90  0.0100  156.8646
3.90  0.0125  163.6501
3.90  0.0020  126.8521
3.90  0.0010  120.4813
3.90  0.0040  110.8226
3.90  0.0050  139.9944
3.90  0.0060  143.1244
3.90  0.0216  190.1196
3.90  0.0247  197.3746
3.90  0.0300  209.8357
3.90  0.0400  227.4025
3.90  0.0500  239.4468
3.90  0.0600  250.6654
3.90  0.0700  256.2997
3.90  0.0800  259.9498
3.90  0.1000  236.6965
3.90  0.1100  217.9067
3.90  0.1300  183.7044
3.90  0.1400  168.3196
3.90  0.1500  153.9891
3.90  0.0018  125.6676
3.90  0.0025  129.4138
3.90  0.0013  122.4461
#mass   Z   median_TP_age (Myr)
4.00  0.0800  240.5787
4.00  0.1000  218.9097
4.00  0.0344  202.0496
4.00  0.0010  113.7304
4.00  0.0020  119.6220
4.00  0.0030  124.2076
4.00  0.0050  131.7385
4.00  0.0095  145.4374
4.00  0.0100  147.1138
4.00  0.0125  153.2144
4.00  0.0140  157.0020
4.00  0.0200  173.6175
4.00  0.0300  195.1241
4.00  0.0400  211.3294
4.00  0.0500  221.9179
4.00  0.0600  232.1483
4.00  0.0700  237.0698
4.00  0.0900  228.9680
4.00  0.1400  156.1799
4.00  0.0013  115.5635
4.00  0.0036  127.1988
4.00  0.1300  170.4013
4.10  0.0344  188.3394
4.10  0.1200  172.6080
4.10  0.0010  107.5793
4.10  0.0020  113.0052
4.10  0.0050  124.2194
4.10  0.0060  126.8716
4.10  0.0135  146.0965
4.10  0.0200  162.1960
4.10  0.0216  165.4618
4.10  0.0247  171.1533
